name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 12: Cold Fury

   ",,Kazuyuki Fujita,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        2
      ","
        ,
        
        10:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      1 of 3
    ","
      2 of 12
    ","
      33%
    ","
      16%
    ","
      63 of 71
    ","
      86 of 105
    ","
      5 of 6
    ","
      0 of 0
    ","
      83%
    ","
      0%
    ","
      2
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 3
    ","
      2 of 12
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 9
    ","
      0 of 0
    ","
      0 of 3
    ","
      1 of 3
    ","
      0 of 0
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 14: Clash of the Titans

   ",,Igor Vovchanchyn,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        1:52

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      5 of 8
    ","
      2 of 6
    ","
      62%
    ","
      33%
    ","
      18 of 21
    ","
      2 of 6
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 6
    ","
      0 of 4
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 1
    ","
      2 of 5
    ","
      1 of 5
    ","
      0 of 0
    ","
      1 of 1
    ","
      3 of 3
    ","
      0 of 0
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 16: Beasts from the East

   ",,Don Frye,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        7:27

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      10 of 12
    ","
      12 of 22
    ","
      83%
    ","
      54%
    ","
      43 of 50
    ","
      50 of 61
    ","
      3 of 6
    ","
      0 of 0
    ","
      50%
    ","
      0%
    ","
      1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      1
    ","
      4 of 6
    ","
      11 of 20
    ","
      6 of 6
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      5 of 7
    ","
      2 of 4
    ","
      4 of 9
    ","
      8 of 8
    ","
      3 of 6
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 21: Demolition

   ",,Jeremy Horn,,Gilbert Yvel,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      10 of 20
    ","
      16 of 24
    ","
      50%
    ","
      66%
    ","
      106 of 118
    ","
      77 of 90
    ","
      8 of 12
    ","
      0 of 0
    ","
      66%
    ","
      0%
    ","
      3
    ","
      2
    ","
      16
    ","
      0
    ","
      2
    ","
      4
    ","
      7 of 17
    ","
      10 of 18
    ","
      3 of 3
    ","
      5 of 5
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 4
    ","
      5 of 8
    ","
      0 of 0
    ","
      2 of 3
    ","
      9 of 16
    ","
      9 of 13
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE Bushido 6

   ",,Ikuhisa Minowa,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        1:10

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      0 of 2
    ","
      1 of 2
    ","
      0%
    ","
      50%
    ","
      0 of 2
    ","
      1 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 2
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE Total Elimination Absolute

   ",,Roman Zentsov,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        4:55

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      9 of 23
    ","
      4 of 12
    ","
      39%
    ","
      33%
    ","
      31 of 48
    ","
      13 of 23
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      2
    ","
      0
    ","
      3
    ","
      1
    ","
      1
    ","
      1
    ","
      9 of 23
    ","
      4 of 11
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    ","
      3 of 10
    ","
      0 of 0
    ","
      0 of 1
    ","
      7 of 20
    ","
      1 of 1
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 34: Kamikaze

   ",,Gilbert Yvel,,Akira Shoji,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        3:04

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      11 of 16
    ","
      1 of 9
    ","
      68%
    ","
      11%
    ","
      23 of 28
    ","
      9 of 19
    ","
      0 of 0
    ","
      1 of 1
    ","
      0%
    ","
      100%
    ","
      2
    ","
      2
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      10 of 14
    ","
      1 of 9
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      4 of 5
    ","
      0 of 1
    ","
      0 of 1
    ","
      0 of 0
    ","
      7 of 10
    ","
      1 of 8
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  Affliction - Day of Reckoning

   ",Josh Barnett ,,,Gilbert Yvel,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        3:05

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      49 of 109
    ","
      11 of 25
    ","
      44%
    ","
      44%
    ","
      152 of 245
    ","
      51 of 85
    ","
      3 of 3
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1
    ","
      0
    ","
      7
    ","
      0
    ","
      0
    ","
      1
    ","
      45 of 105
    ","
      8 of 22
    ","
      4 of 4
    ","
      2 of 2
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 5
    ","
      4 of 9
    ","
      1 of 1
    ","
      3 of 6
    ","
      47 of 103
    ","
      4 of 10
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  UFC 108: Evans vs Silva

   ",Junior Dos Santos ,,,Gilbert Yvel,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:07

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      14 of 33
    ","
      3 of 18
    ","
      42%
    ","
      16%
    ","
      17 of 37
    ","
      3 of 18
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      9 of 24
    ","
      3 of 15
    ","
      4 of 7
    ","
      0 of 2
    ","
      1 of 2
    ","
      0 of 1
    ","
      10 of 25
    ","
      3 of 17
    ","
      0 of 1
    ","
      0 of 1
    ","
      4 of 7
    ","
      0 of 0
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  UFC 115: Liddell vs Franklin

   ",Ben Rothwell ,,,Gilbert Yvel,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      44 of 72
    ","
      33 of 61
    ","
      61%
    ","
      54%
    ","
      120 of 167
    ","
      69 of 102
    ","
      5 of 7
    ","
      0 of 1
    ","
      71%
    ","
      0%
    ","
      2
    ","
      2
    ","
      14
    ","
      1
    ","
      0
    ","
      3
    ","
      32 of 58
    ","
      30 of 56
    ","
      12 of 14
    ","
      2 of 4
    ","
      0 of 0
    ","
      1 of 1
    ","
      3 of 8
    ","
      5 of 10
    ","
      6 of 10
    ","
      5 of 15
    ","
      35 of 54
    ","
      23 of 36
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  UFC 121: Lesnar vs Velasquez

   ",,Jon Madsen,,Gilbert Yvel,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:48

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 31
    ","
      0 of 2
    ","
      58%
    ","
      0%
    ","
      20 of 35
    ","
      0 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      18 of 31
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      18 of 29
    ","
      0 of 0
    "
"
                Yanan Wu

            ","
                Record: 10-3-0
            ","
      5' 8""
    ","
      125 lbs.
    ","
      66""
    ","
      Orthodox
    ","
      
        Apr 18, 1996
      
    ","

  UFC Fight Night: Blaydes vs. Ngannou 2

   ",Yanan Wu ,,Lauren Mueller ,,"
      
      Women's Flyweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 36
    ","
      17 of 43
    ","
      50%
    ","
      39%
    ","
      28 of 46
    ","
      27 of 55
    ","
      0 of 1
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 22
    ","
      9 of 31
    ","
      1 of 4
    ","
      7 of 10
    ","
      9 of 10
    ","
      1 of 2
    ","
      15 of 32
    ","
      12 of 35
    ","
      3 of 4
    ","
      4 of 5
    ","
      0 of 0
    ","
      1 of 3
    "
"
                Yanan Wu

            ","
                Record: 10-3-0
            ","
      5' 8""
    ","
      125 lbs.
    ","
      66""
    ","
      Orthodox
    ","
      
        Apr 18, 1996
      
    ","

  UFC Fight Night: Andrade vs. Zhang

   ",Yanan Wu ,,Mizuki Inoue ,,"
      
      Women's Flyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      123 of 270
    ","
      93 of 204
    ","
      45%
    ","
      45%
    ","
      136 of 283
    ","
      102 of 214
    ","
      0 of 4
    ","
      0 of 4
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      65 of 198
    ","
      86 of 195
    ","
      41 of 51
    ","
      7 of 9
    ","
      17 of 21
    ","
      0 of 0
    ","
      95 of 235
    ","
      74 of 182
    ","
      28 of 35
    ","
      19 of 22
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Igor Vovchanchyn

            ","
                Record: 55-10-1 (1 NC)
            ","
      5' 8""
    ","
      205 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 06, 1973
      
    ","

  PRIDE 5

   ",,Igor Vovchanchyn,,Akira Shoji,"
      
      Open Weight Bout
    ","
        ,
        2
      ","
        ,
        
        10:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      27 of 64
    ","
      10 of 33
    ","
      42%
    ","
      30%
    ","
      53 of 95
    ","
      19 of 49
    ","
      1 of 2
    ","
      0 of 3
    ","
      50%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 48
    ","
      6 of 27
    ","
      2 of 3
    ","
      0 of 0
    ","
      11 of 13
    ","
      4 of 6
    ","
      25 of 61
    ","
      9 of 26
    ","
      0 of 1
    ","
      0 of 6
    ","
      2 of 2
    ","
      1 of 1
    "
"
                Igor Vovchanchyn

            ","
                Record: 55-10-1 (1 NC)
            ","
      5' 8""
    ","
      205 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 06, 1973
      
    ","

  PRIDE 6

   ",,Igor Vovchanchyn,,Carlos Barreto,"
      
      Open Weight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      35 of 77
    ","
      7 of 107
    ","
      45%
    ","
      6%
    ","
      41 of 83
    ","
      82 of 183
    ","
      0 of 0
    ","
      2 of 3
    ","
      0%
    ","
      66%
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      11 of 41
    ","
      2 of 70
    ","
      3 of 5
    ","
      1 of 18
    ","
      21 of 31
    ","
      4 of 19
    ","
      35 of 75
    ","
      6 of 101
    ","
      0 of 1
    ","
      0 of 1
    ","
      0 of 1
    ","
      1 of 5
    "
"
                Igor Vovchanchyn

            ","
                Record: 55-10-1 (1 NC)
            ","
      5' 8""
    ","
      205 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 06, 1973
      
    ","

  PRIDE 7

   ",,Igor Vovchanchyn,,Mark Kerr,"
      
      Open Weight Bout
    ","
        ,
        2
      ","
        ,
        
        4:37

      ","
    NC
  ","
    NC
  ","
      0
    ","
      0
    ","
      12 of 17
    ","
      16 of 29
    ","
      70%
    ","
      55%
    ","
      228 of 233
    ","
      56 of 75
    ","
      0 of 0
    ","
      4 of 6
    ","
      0%
    ","
      66%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      10 of 15
    ","
      13 of 25
    ","
      2 of 2
    ","
      2 of 2
    ","
      0 of 0
    ","
      1 of 2
    ","
      2 of 5
    ","
      2 of 6
    ","
      3 of 4
    ","
      2 of 3
    ","
      7 of 8
    ","
      12 of 20
    "
